y_test,y_pred
950400,5521441.758241759
15634100,17019851.724137932
0,550158.4905660377
6536600,8194646.79144385
2099600,4213171.698113208
23555200,11156651.489361702
11505300,12923541.420118343
3173600,4904854.148471615
15160400,17019851.724137932
3832700,5424037.226277372
5619200,6577257.86163522
7629200,12923541.420118343
6778600,6408169.724770642
8042600,11156651.489361702
3835800,6525491.338582677
4948400,4213171.698113208
640000,1681017.3410404625
1075200,2627471.186440678
9154400,5648964.814814814
2124800,6387200.0
5414400,7502446.511627907
13376100,11267743.47826087
6867600,8617572.727272727
6369800,6947436.269430052
11676800,5521441.758241759
22230900,24033901.796407185
1990400,5521441.758241759
5460800,5521441.758241759
256000,550158.4905660377
6712500,10861135.454545455
460800,1072818.6046511629
0,1072818.6046511629
10593500,6420612.280701755
1024000,1211584.2794759825
8849600,9604430.64516129
7796900,9033719.696969697
10951700,14871509.401709402
2360800,4213171.698113208
358400,550158.4905660377
24232600,24033901.796407185
6252300,9033719.696969697
1075200,1681017.3410404625
7482200,9155456.0
3814400,5648964.814814814
1459200,6577257.86163522
2856800,4213171.698113208
6700900,6773153.503184713
5938000,4904854.148471615
13191600,12923541.420118343
9353600,8264716.049382716
3648000,5521441.758241759
8744200,14871509.401709402
6220800,5648964.814814814
12579200,16927065.36312849
3894400,6577257.86163522
5888400,6525491.338582677
4440000,6577257.86163522
131833600,3915054.5454545454
15830000,16927065.36312849
12935800,8617572.727272727
7005500,10128187.301587302
3806200,6525491.338582677
21199900,24033901.796407185
640000,9715200.0
4925000,9907051.612903226
5781600,6947436.269430052
4019200,2627471.186440678
6379700,5424037.226277372
4112000,6577257.86163522
8230600,9155456.0
6992000,4904854.148471615
6389600,5648964.814814814
13510100,13761523.27586207
15986800,6947436.269430052
10384000,7502446.511627907
4065600,5648964.814814814
6891400,6773153.503184713
8523800,8032119.354838709
8575000,9155456.0
5123700,7427003.493449782
10172500,16927065.36312849
4159200,4904854.148471615
5680600,6773153.503184713
3436800,5521441.758241759
5449000,6770826.315789473
6814400,5572875.1773049645
4044400,6947436.269430052
3046400,3915054.5454545454
7380600,7427003.493449782
3219200,6577257.86163522
1702400,7502446.511627907
9779200,2627471.186440678
13327000,16927065.36312849
3509200,4904854.148471615
12368200,12923541.420118343
13003400,11535673.333333334
16087800,14871509.401709402
2911000,6947436.269430052
13260800,7502446.511627907
5728000,5648964.814814814
10726400,2627471.186440678
18581700,8194646.79144385
7063500,8194646.79144385
32309100,7917255.395683453
7307200,4904854.148471615
7614400,8264716.049382716
10636600,6773153.503184713
7226200,10722364.285714285
3021200,5648964.814814814
3200400,5242493.1034482755
7332600,6770826.315789473
7079200,4990861.471861471
21667700,9604430.64516129
4358200,6947436.269430052
4953600,3915054.5454545454
11180100,11156651.489361702
6449800,9212127.083333334
6300800,7502446.511627907
3666500,8670825.2
7116800,8264716.049382716
6097600,7427003.493449782
9581300,10861135.454545455
10058900,11156651.489361702
332800,2151101.3698630137
9695500,8194646.79144385
5833600,5999249.1228070175
8332600,8194646.79144385
7408000,5521441.758241759
12430300,14871509.401709402
7604400,9212127.083333334
972800,1211584.2794759825
21401600,2627471.186440678
5213700,6770826.315789473
1254400,3915054.5454545454
4115200,8264716.049382716
4934400,5648964.814814814
3096800,4990861.471861471
5138700,8194646.79144385
870400,550158.4905660377
2150400,2627471.186440678
6828800,7502446.511627907
8993300,6773153.503184713
9285200,12923541.420118343
9057100,11156651.489361702
6505700,7828053.846153846
13308400,11535673.333333334
3725400,6770826.315789473
4675000,7427003.493449782
6653600,7828053.846153846
5318400,6577257.86163522
9753000,8194646.79144385
1075200,1681017.3410404625
1536000,1211584.2794759825
86798700,10722364.285714285
4892800,7502446.511627907
1536000,1211584.2794759825
435200,2627471.186440678
10319400,8617572.727272727
5006500,8194646.79144385
4121600,2627471.186440678
972800,3915054.5454545454
8559100,9390321.212121213
6068700,6770826.315789473
